iter	Logloss
0	0.6898070328
1	0.6869241076
2	0.6847567609
3	0.6823250111
4	0.6801237661
5	0.6776367018
6	0.6761242706
7	0.6737458831
8	0.6714379153
9	0.669739131
10	0.668389373
11	0.6661557556
12	0.6645380877
13	0.6626709903
14	0.6611874494
15	0.6592708181
16	0.6576960114
17	0.655958451
18	0.6547810014
19	0.6531152383
20	0.6515269021
21	0.6500400026
22	0.6486484402
23	0.6469620521
24	0.6459460484
25	0.6447425935
26	0.6429271647
27	0.6421694015
28	0.6405344758
29	0.6395880699
30	0.6385816578
31	0.6376928805
32	0.63681002
33	0.6361270378
34	0.6351627336
35	0.6340995958
36	0.63318222
37	0.6319797116
38	0.6310115627
39	0.629822321
40	0.6287192735
41	0.6281340697
42	0.6272457452
43	0.6267934986
44	0.6257127565
45	0.6248432037
46	0.6241382435
47	0.623489471
48	0.6223517477
49	0.6217146388
50	0.6208939595
51	0.6199183826
52	0.6190663
53	0.6185965773
54	0.617580847
55	0.61632372
56	0.6156269088
57	0.6150547878
58	0.6144557261
59	0.6138508776
60	0.613006708
61	0.6121411452
62	0.6114555274
63	0.6105611993
64	0.6099425907
65	0.6091792033
66	0.6084380868
67	0.6075117448
68	0.6067166377
69	0.6059839621
70	0.6048418619
71	0.6040305114
72	0.6032483118
73	0.6022943604
74	0.6018733409
75	0.6014022427
76	0.6007394028
77	0.5999700475
78	0.5993161471
79	0.5988788978
80	0.5981086533
81	0.5976608774
82	0.5961012641
83	0.5954207208
84	0.5948339634
85	0.594086746
86	0.5932302667
87	0.5928152221
88	0.5922291548
89	0.5917662365
90	0.5912997745
91	0.5906929875
92	0.5903850528
93	0.5898779005
94	0.5892461815
95	0.5889553673
96	0.588572363
97	0.5882062746
98	0.5874109672
99	0.586713538
100	0.5861045747
101	0.585488593
102	0.5850754159
103	0.5849027515
104	0.5843021196
105	0.5838955756
106	0.5833168818
107	0.5830415393
108	0.582673808
109	0.5823557203
110	0.5817343582
111	0.581138294
112	0.5807560307
113	0.5804837816
114	0.5800660357
115	0.5796326053
116	0.5791062334
117	0.57880539
118	0.5780785471
119	0.5776243495
120	0.5773275846
121	0.5767795186
122	0.5765430754
123	0.5763044394
124	0.5758087661
125	0.5755823447
126	0.5752530954
127	0.5747595609
128	0.5745478446
129	0.5740699782
130	0.5735080479
131	0.5730777773
132	0.5726366611
133	0.5722073091
134	0.5718200375
135	0.5714775525
136	0.571091922
137	0.5708346926
138	0.5702533022
139	0.5700579061
140	0.5694831647
141	0.5690214877
142	0.5687323481
143	0.5677564622
144	0.5674442116
145	0.5671521103
146	0.5665997916
147	0.5662163928
148	0.5659728763
149	0.5656472542
150	0.5647470047
151	0.5643450883
152	0.5640352522
153	0.5634170125
154	0.5626632333
155	0.5623620778
156	0.5620050626
157	0.5617198939
158	0.5613586276
159	0.5607726487
160	0.5602707073
161	0.55979538
162	0.5595068248
163	0.5590806217
164	0.5586024279
165	0.5581443798
166	0.5578024477
167	0.5575414042
168	0.5571338389
169	0.5568515093
170	0.5563397822
171	0.5561326841
172	0.555593939
173	0.5551158356
174	0.5548094859
175	0.5546466811
176	0.5541865129
177	0.5537156611
178	0.5534481678
179	0.553044216
180	0.5527014904
181	0.5523524874
182	0.5517923622
183	0.5515501379
184	0.5511925227
185	0.55081125
186	0.5500643017
187	0.5498832786
188	0.5494732346
189	0.5492869799
190	0.5489812807
191	0.5486685515
192	0.5482645108
193	0.5478310658
194	0.5475722443
195	0.5473079899
196	0.5470956239
197	0.5468703679
198	0.546405358
199	0.5460358031
200	0.5456611973
201	0.5454296517
202	0.5451205344
203	0.5447327469
204	0.5443970894
205	0.5441407308
206	0.5439635742
207	0.5436739567
208	0.5431778414
209	0.5427974169
210	0.5423837278
211	0.5420562257
212	0.5418019263
213	0.5413519109
214	0.5410050984
215	0.540464132
216	0.5402297951
217	0.5399470924
218	0.5397312833
219	0.5393405689
220	0.5386326117
221	0.5382755394
222	0.5379568381
223	0.537640578
224	0.5374904538
225	0.5372145946
226	0.5368006155
227	0.5362149209
228	0.5357374786
229	0.5352378834
230	0.5349077347
231	0.5346023974
232	0.5338373278
233	0.533476677
234	0.5331483438
235	0.5329105472
236	0.5324603022
237	0.5321380466
238	0.5318603882
239	0.5315489736
240	0.531228224
241	0.5308358543
242	0.5306382198
243	0.5303733833
244	0.529783122
245	0.5294226486
246	0.5291776157
247	0.5287479962
248	0.5285305095
249	0.528148113
250	0.5279815576
251	0.5277307784
252	0.5273649246
253	0.5270886087
254	0.5268077887
255	0.5265282875
256	0.5261513781
257	0.5256481405
258	0.5255130523
259	0.5252883941
260	0.5249828394
261	0.5245919113
262	0.5242053018
263	0.5239732828
264	0.5236415359
265	0.523395104
266	0.5229348347
267	0.5225390046
268	0.5221783004
269	0.5220024828
270	0.521717013
271	0.521403022
272	0.5211484527
273	0.5209592793
274	0.5206640671
275	0.5202735205
276	0.5199935813
277	0.5196872091
278	0.5193331323
279	0.5190245964
280	0.5185993525
281	0.5183021087
282	0.5180978812
283	0.5178251409
