iter	Passed	Remaining
0	5	2363
1	10	2160
2	15	1989
3	20	2044
4	26	2096
5	30	1995
6	35	1990
7	40	1979
8	46	1999
9	50	1980
10	55	1968
11	62	2016
12	67	2003
13	74	2052
14	79	2037
15	83	2006
16	90	2043
17	96	2041
18	101	2029
19	106	2015
20	110	1989
21	114	1965
22	118	1947
23	123	1928
24	127	1914
25	132	1902
26	137	1898
27	142	1891
28	147	1882
29	151	1868
30	156	1862
31	160	1848
32	164	1829
33	169	1824
34	173	1813
35	178	1808
36	183	1803
37	189	1806
38	194	1803
39	199	1792
40	204	1786
41	208	1777
42	213	1771
43	219	1772
44	223	1760
45	227	1753
46	233	1751
47	237	1744
48	242	1737
49	246	1728
50	251	1721
51	256	1714
52	261	1709
53	266	1706
54	270	1694
55	274	1687
56	280	1685
57	284	1679
58	289	1674
59	293	1665
60	299	1663
61	304	1657
62	309	1653
63	315	1656
64	321	1654
65	325	1648
66	333	1656
67	337	1647
68	341	1640
69	347	1640
70	352	1631
71	356	1623
72	361	1619
73	365	1609
74	369	1602
75	373	1593
76	378	1588
77	382	1578
78	387	1572
79	391	1567
80	396	1562
81	400	1553
82	404	1545
83	410	1545
84	415	1540
85	420	1536
86	425	1529
87	429	1521
88	433	1513
89	437	1506
90	441	1499
91	445	1492
92	450	1485
93	453	1477
94	458	1471
95	462	1463
96	466	1457
97	470	1450
98	475	1444
99	479	1437
100	483	1431
101	487	1424
102	493	1421
103	497	1416
104	502	1410
105	507	1406
106	510	1398
107	514	1391
108	519	1386
109	523	1380
110	527	1373
111	531	1366
112	536	1361
113	540	1355
114	544	1350
115	549	1345
116	554	1340
117	557	1332
118	561	1325
119	564	1317
120	568	1310
121	572	1304
122	576	1297
123	580	1292
124	584	1285
125	588	1279
126	592	1274
127	596	1267
128	601	1263
129	604	1256
130	608	1249
131	612	1243
132	616	1237
133	621	1232
134	625	1227
135	630	1223
136	634	1218
137	638	1212
138	643	1207
139	646	1201
140	650	1195
141	655	1190
142	658	1184
143	662	1177
144	666	1171
145	670	1166
146	673	1159
147	677	1154
148	681	1148
149	685	1142
150	689	1136
151	693	1132
152	698	1126
153	701	1121
154	705	1114
155	708	1108
156	713	1104
157	717	1099
158	722	1094
159	725	1088
160	733	1088
161	738	1084
162	743	1080
163	747	1076
164	752	1071
165	757	1067
166	761	1062
167	766	1058
168	770	1052
169	773	1047
170	778	1042
171	782	1037
172	787	1032
173	791	1027
174	796	1023
175	800	1018
176	803	1012
177	807	1006
178	811	1001
179	815	997
180	820	992
181	825	988
182	828	982
183	832	977
184	835	970
185	839	966
186	844	961
187	849	957
188	853	952
189	857	947
190	860	941
191	864	936
192	869	932
193	877	931
194	882	927
195	887	923
196	892	919
197	896	914
198	901	910
199	906	906
200	911	902
201	915	896
202	919	892
203	923	887
204	928	883
205	932	878
206	937	874
207	941	869
208	945	863
209	949	858
210	953	854
211	958	850
212	963	845
213	966	840
214	970	835
215	974	830
216	978	825
217	982	820
218	986	815
219	990	810
220	995	805
221	998	800
222	1003	796
223	1007	791
224	1011	786
225	1014	781
226	1019	776
227	1023	772
228	1027	767
229	1030	762
230	1035	757
231	1039	752
232	1043	747
233	1047	742
234	1050	737
235	1055	733
236	1059	728
237	1064	724
238	1067	719
239	1071	714
240	1075	709
241	1080	705
242	1083	700
243	1087	695
244	1091	690
245	1095	686
246	1099	681
247	1104	676
248	1108	672
249	1115	669
250	1120	665
251	1124	660
252	1129	656
253	1133	651
254	1137	647
255	1142	642
256	1146	638
257	1150	633
258	1153	628
259	1157	623
260	1162	619
261	1167	614
262	1171	610
263	1175	605
264	1179	600
265	1183	596
266	1187	591
267	1191	586
268	1195	582
269	1199	577
270	1202	572
271	1206	567
272	1210	563
273	1214	558
274	1218	553
275	1223	549
276	1227	545
277	1230	540
278	1234	535
279	1238	530
280	1242	526
281	1246	521
282	1251	517
283	1255	512
284	1261	509
285	1265	504
286	1270	500
287	1276	496
288	1282	492
289	1287	488
290	1291	483
291	1296	479
292	1301	475
293	1305	470
294	1308	465
295	1312	461
296	1316	456
297	1321	452
298	1324	447
299	1327	442
300	1331	437
301	1335	433
302	1339	428
303	1344	424
304	1349	420
305	1353	415
306	1356	410
307	1359	406
308	1363	401
309	1367	397
310	1370	392
311	1374	387
312	1378	383
313	1383	378
314	1386	374
315	1389	369
316	1394	365
317	1399	360
318	1402	356
319	1406	351
320	1410	347
321	1414	342
322	1417	337
323	1421	333
324	1425	328
325	1429	324
326	1432	319
327	1436	315
328	1439	310
329	1443	306
330	1447	301
331	1450	297
332	1454	292
333	1457	287
334	1461	283
335	1465	279
336	1470	274
337	1473	270
338	1477	265
339	1481	261
340	1485	256
341	1489	252
342	1493	248
343	1497	243
344	1503	239
345	1508	235
346	1513	231
347	1517	226
348	1522	222
349	1527	218
350	1533	214
351	1538	209
352	1543	205
353	1548	201
354	1553	196
355	1558	192
356	1563	188
357	1569	184
358	1574	179
359	1580	175
360	1584	171
361	1589	166
362	1593	162
363	1597	158
364	1602	153
365	1607	149
366	1610	144
367	1615	140
368	1619	136
369	1624	131
370	1628	127
371	1633	122
372	1637	118
373	1642	114
374	1646	109
375	1650	105
376	1655	101
377	1659	96
378	1663	92
379	1668	87
380	1672	83
381	1675	78
382	1679	74
383	1684	70
384	1688	65
385	1693	61
386	1697	57
387	1701	52
388	1707	48
389	1710	43
390	1714	39
391	1718	35
392	1722	30
393	1727	26
394	1731	21
395	1735	17
396	1739	13
397	1743	8
398	1747	4
399	1751	0
