take_profit_rr,atr_sl_mult,net_profit,total_trades,win_rate,score
1.5,0.6,10778.47,288,55.21,5950.62
2.0,0.3,10822.02,294,51.02,5521.44
1.5,0.4,9433.22,295,57.29,5404.12
2.0,0.2,9940.27,302,51.99,5167.63
1.5,0.5,9021.64,290,55.52,5008.56
2.0,0.4,9827.5,291,50.52,4964.41
2.5,0.3,10023.47,291,46.39,4650.06
1.5,0.3,8147.13,298,55.7,4538.34
2.5,0.2,9569.37,298,47.32,4527.79
3.0,0.6,11774.65,256,35.55,4185.52
2.0,0.6,8768.04,276,45.29,3971.03
3.0,0.3,9412.54,285,40.7,3831.07
2.5,0.1,8046.53,301,46.84,3769.31
4.0,0.2,10468.72,285,35.44,3709.97
3.5,0.3,10239.1,277,36.1,3696.43
3.0,0.2,8936.09,295,41.36,3695.6
4.5,0.2,11371.99,278,32.37,3681.58
3.5,0.1,9026.97,297,40.4,3647.26
3.5,0.5,10872.76,256,32.81,3567.63
5.0,0.1,10712.34,286,33.22,3558.3
2.5,0.4,8119.65,281,42.7,3467.47
3.0,0.1,7973.29,300,42.67,3401.94
1.5,0.2,6273.95,302,53.97,3386.27
4.0,0.1,9238.2,292,36.64,3385.23
3.5,0.2,9088.62,288,37.15,3376.68
2.0,0.1,6983.18,302,48.34,3375.97
2.0,0.5,7184.63,279,46.95,3373.43
4.5,0.1,9750.08,291,34.36,3350.54
2.5,0.6,8862.81,265,37.74,3344.46
4.0,0.4,11168.21,261,29.89,3337.63
5.0,0.2,10946.13,269,29.0,3173.97
3.0,0.4,8650.83,274,36.5,3157.24
2.5,0.5,7825.67,272,39.71,3107.25
3.5,0.4,9414.24,267,32.58,3067.56
4.0,0.3,9682.43,271,31.37,3036.92
4.5,0.3,10007.55,263,28.9,2891.91
3.0,0.5,8183.35,264,34.47,2820.78
1.5,0.1,4777.42,303,51.49,2459.66
5.0,0.3,8980.62,258,25.19,2262.56
3.5,0.6,6606.8,246,29.27,1933.7
4.5,0.4,6318.43,250,24.4,1541.7
5.0,0.6,7260.6,230,20.87,1515.26
4.0,0.6,5677.56,236,25.0,1419.39
4.5,0.6,5616.48,235,22.13,1242.79
4.0,0.5,3971.13,244,26.64,1057.88
5.0,0.4,3617.54,248,21.77,787.69
4.5,0.5,2875.94,240,22.92,659.07
5.0,0.5,2178.39,238,19.75,430.19
